|Tau|fi|
|22.64844|0.00041|
|22.71615|0.00041|
|22.78385|0.00041|
|22.85156|0.00041|
|22.91927|0.00041|
|22.98698|0.00041|
|23.05469|0.00040|
|23.12240|0.00040|
|23.19010|0.00040|
|23.25781|0.00040|
|23.32552|0.00040|
|23.39323|0.00040|
|23.46094|0.00040|
|23.52865|0.00040|
|23.59635|0.00040|
|23.66406|0.00040|
|23.73177|0.00039|
|23.79948|0.00039|
|23.86719|0.00039|
|23.93490|0.00039|
|24.00260|0.00039|
|24.07031|0.00039|
|24.13802|0.00039|
|24.20573|0.00039|
|24.27344|0.00038|
|24.34115|0.00038|
|24.40885|0.00038|
|24.47656|0.00038|
|24.54427|0.00038|
|24.61198|0.00038|
|24.67969|0.00038|
|24.74740|0.00038|
|24.81510|0.00037|
|24.88281|0.00037|
|24.95052|0.00037|
|25.01823|0.00037|
|25.08594|0.00037|
|25.15365|0.00037|
|25.22135|0.00037|
|25.28906|0.00036|
|25.35677|0.00036|
|25.42448|0.00036|
|25.49219|0.00036|
|25.55990|0.00036|
|25.62760|0.00036|
|25.69531|0.00035|
|25.76302|0.00035|
|25.83073|0.00035|
|25.89844|0.00035|
|25.96615|0.00035|
|26.03385|0.00035|
|26.10156|0.00035|
|26.16927|0.00034|
|26.23698|0.00034|
|26.30469|0.00034|
|26.37240|0.00034|
|26.44010|0.00034|
|26.50781|0.00034|
|26.57552|0.00033|
|26.64323|0.00033|
|26.71094|0.00033|
|26.77865|0.00033|
|26.84635|0.00033|
|26.91406|0.00033|
|26.98177|0.00032|
|27.04948|0.00032|
|27.11719|0.00032|
|27.18490|0.00032|
|27.25260|0.00032|
|27.32031|0.00031|
|27.38802|0.00031|
|27.45573|0.00031|
|27.52344|0.00031|
|27.59115|0.00031|
|27.65885|0.00031|
|27.72656|0.00030|
|27.79427|0.00030|
|27.86198|0.00030|
|27.92969|0.00030|
|27.99740|0.00030|
|28.06510|0.00030|
|28.13281|0.00029|
|28.20052|0.00029|
|28.26823|0.00029|
|28.33594|0.00029|
|28.40365|0.00029|
|28.47135|0.00028|
|28.53906|0.00028|
|28.60677|0.00028|
|28.67448|0.00028|
|28.74219|0.00028|
|28.80990|0.00028|
|28.87760|0.00027|
|28.94531|0.00027|
|29.01302|0.00027|
|29.08073|0.00027|
|29.14844|0.00027|
|29.21615|0.00027|
|29.28385|0.00026|
|29.35156|0.00026|
|29.41927|0.00026|
|29.48698|0.00026|
|29.55469|0.00026|
|29.62240|0.00025|
|29.69010|0.00025|
|29.75781|0.00025|
|29.82552|0.00025|
|29.89323|0.00025|
|29.96094|0.00025|
|30.02865|0.00024|
|30.09635|0.00024|
|30.16406|0.00024|
|30.23177|0.00024|
|30.29948|0.00024|
|30.36719|0.00024|
|30.43490|0.00023|
|30.50260|0.00023|
|30.57031|0.00023|
|30.63802|0.00023|
|30.70573|0.00023|
